
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
"Data Scientist, Credit Risk to Personal banking and SME",CA$57K-CA$79K (Glassdoor Est.),4.1,"National Bank of Canada
4.1",Montreal,"Montreal, Canada",10000+ employees,1859,Company - Public,Banks & Building Societies,Finance,$10+ billion (CAD),-1,0,0,57,79,68.0,"National Bank of Canada
",Montreal,0,161,0,0,0,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.7,"Citi
3.7",Mississauga,"New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (CAD),-1,0,0,57,79,68.0,"Citi
",Mississauga,0,208,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.5,"Aviva
3.5",Markham,"London, United Kingdom",10000+ employees,1861,Company - Public,Insurance Operators,Insurance,$10+ billion (CAD),Legal & General,0,0,57,79,68.0,"Aviva
",Markham,0,159,1,0,1,0,0
DATA SCIENTIST,CA$57K-CA$79K (Glassdoor Est.),-1.0,Temetrix,Ottawa,-1,-1,-1,-1,-1,-1,-1,-1,0,0,57,79,68.0,Temetrix,Ottawa,0,-1,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.5,"Ingrooves
3.5",Victoria,"Los Angeles, CA",51 to 200 employees,2002,Company - Private,Music Production & Distribution,Media,$100 to $500 million (CAD),-1,0,0,57,79,68.0,"Ingrooves
",Victoria,0,18,1,0,1,1,1
ML Engineer/Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.9,"Nylas
4.9",Toronto,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"Nylas
",Toronto,0,7,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),2.6,"Canadian Security Intelligence Service
2.6",Ottawa,"Ottawa, Canada",1 to 50 employees,1984,Government,Government Agencies,Government,Less than $1 million (CAD),-1,0,0,57,79,68.0,"Canadian Security Intelligence Service
",Ottawa,0,36,1,0,0,0,0
Senior NLP Engineer/Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.9,"Nylas
4.9",Toronto,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"Nylas
",Toronto,0,7,1,0,1,0,0
Data Scientist 4,CA$57K-CA$79K (Glassdoor Est.),3.6,"Oracle
3.6",Canada,"Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (CAD),"SAP, Salesforce, Microsoft",0,0,57,79,68.0,"Oracle
",Canada,0,43,0,0,0,0,0
Data Analyst,CA$57K-CA$79K (Glassdoor Est.),5.0,"Data Sciences Inc.
5.0",Montreal,"Vienna, VA",1 to 50 employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"Data Sciences Inc.
",Montreal,0,7,1,0,0,1,1
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.4,"Sobeys
3.4",Toronto,"Stellarton, Canada",10000+ employees,1907,Subsidiary or Business Segment,Grocery Shops & Supermarkets,Retail,$10+ billion (CAD),"Metro, Loblaw Companies",0,0,57,79,68.0,"Sobeys
",Toronto,0,113,1,0,0,0,0
Data Scientist - Programmer,CA$57K-CA$79K (Glassdoor Est.),3.6,"IQVIA
3.6",Montreal,"Durham, NC",10000+ employees,2017,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (CAD),"PPD, INC Research, PRA Health Sciences",0,0,57,79,68.0,"IQVIA
",Montreal,0,3,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.6,"Fuze HR Solutions
3.6",Woodbridge,"Montreal, Canada",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Robert Half, Randstad, Adecco",0,0,57,79,68.0,"Fuze HR Solutions
",Woodbridge,0,14,1,0,0,0,0
Scientifique des données/ Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.9,"CAE Inc.
3.9",Saint-Laurent,"Montreal, Canada",10000+ employees,1947,Company - Public,Aerospace & Defence,Aerospace & Defence,$2 to $5 billion (CAD),"Pratt & Whitney, Lockheed Martin",0,0,57,79,68.0,"CAE Inc.
",Saint-Laurent,0,73,1,0,1,0,1
Data Analyst,CA$57K-CA$79K (Glassdoor Est.),3.3,"Fujitsu
3.3",Ottawa,"MINATO-KU, Japan",10000+ employees,1935,Company - Public,-1,-1,$10+ billion (CAD),"Atos, Hewlett Packard Enterprise | HPE, IBM",0,0,57,79,68.0,"Fujitsu
",Ottawa,0,85,0,0,0,0,0
"Data Scientist (R&D, Batteries)",CA$57K-CA$79K (Glassdoor Est.),4.4,"GBatteries
4.4",Ottawa,"Ottawa, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"GBatteries
",Ottawa,0,-1,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),-1.0,Knowtions Research,Toronto,"Toronto, Canada",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,57,79,68.0,Knowtions Research,Toronto,0,-1,1,0,1,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.1,"NorthOne
4.1",Toronto,"New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"NorthOne
",Toronto,0,-1,1,0,0,0,1
Tenure Track Data Scientist/Biostatistician,CA$57K-CA$79K (Glassdoor Est.),4.3,"Queen's University
4.3",Kingston,"Kingston, Canada",5001 to 10000 employees,1841,College / University,Colleges & Universities,Education,$1 to $2 billion (CAD),"University of Western Ontario, University of Toronto, McGill University",0,0,57,79,68.0,"Queen's University
",Kingston,0,179,0,0,0,1,1
Data Scientist / Engineer,CA$62K-CA$94K (Glassdoor Est.),4.2,"LotusFlare, Inc.
4.2",Waterloo,"Santa Clara, CA",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"LotusFlare, Inc.
",Waterloo,0,6,1,0,0,0,0
